type,x,y
1,426,164
1,443,135
1,1470,2157
1,2002,1017
1,2313,1281
1,2287,1284
1,1646,1522
2,405,58
2,411,88
2,399,111
2,441,105
2,449,144
2,376,88
2,364,61
2,391,144
2,367,161
2,364,196
2,346,158
2,493,202
2,482,226
2,511,214
2,526,196
2,546,188
2,593,214
2,626,202
2,564,264
2,526,282
2,508,267
2,602,261
2,343,323
2,382,314
2,405,326
2,443,326
2,443,305
2,490,317
2,508,314
2,470,338
2,520,341
2,549,332
2,573,326
2,596,311
2,629,305
2,661,314
2,679,296
2,690,326
2,752,317
2,752,335
2,746,349
2,720,364
2,799,323
2,873,338
2,873,370
2,931,364
2,934,326
2,1008,376
2,1037,385
2,1023,411
2,993,411
2,967,411
2,1020,461
2,1017,443
2,999,441
2,979,443
2,1037,470
2,979,482
2,979,517
2,949,543
2,949,520
2,929,443
2,855,449
2,802,441
2,761,417
2,746,382
2,884,505
2,905,546
2,879,573
2,843,599
2,840,632
2,802,614
2,802,579
2,779,564
2,767,532
2,782,511
2,752,482
2,764,452
2,726,479
2,723,446
2,729,429
2,729,414
2,702,414
2,705,376
2,661,373
2,620,335
2,637,376
2,637,396
2,652,420
2,667,438
2,637,432
2,652,452
2,629,452
2,611,429
2,605,402
2,608,367
2,588,341
2,682,482
2,699,499
2,682,508
2,637,488
2,746,546
2,729,526
2,735,558
2,746,576
2,699,552
2,761,632
2,729,655
2,673,643
2,670,655
2,635,685
2,655,617
2,667,599
2,640,582
2,667,558
2,652,535
2,614,520
2,590,517
2,590,485
2,605,464
2,555,417
2,549,393
2,582,379
2,590,414
2,540,438
2,517,429
2,502,396
2,482,393
2,473,367
2,496,355
2,426,376
2,438,396
2,452,396
2,470,411
2,490,435
2,490,455
2,470,438
2,514,479
2,558,467
2,535,490
2,493,505
2,508,511
2,520,511
2,535,529
2,579,535
2,564,532
2,529,549
2,552,558
2,614,564
2,585,561
2,570,564
2,540,585
2,608,602
2,520,570
2,511,582
2,523,596
2,526,629
2,505,617
2,502,652
2,517,661
2,535,690
2,558,693
2,482,711
2,490,614
2,473,623
2,458,620
2,461,649
2,449,649
2,435,626
2,461,588
2,461,570
2,455,535
2,461,514
2,461,467
2,446,485
2,432,502
2,435,473
2,438,455
2,420,446
2,414,414
2,388,396
2,364,396
2,379,420
2,405,438
2,385,449
2,361,449
2,346,429
2,335,405
2,402,505
2,391,505
2,426,532
2,391,529
2,402,546
2,438,555
2,414,564
2,423,599
2,411,614
2,420,640
2,420,685
2,505,708
2,455,737
2,420,737
2,391,737
2,364,720
2,338,685
2,329,652
2,349,599
2,370,596
2,343,570
2,370,558
2,352,538
2,361,499
2,364,479
2,341,467
2,329,476
2,308,490
2,308,511
2,329,523
2,311,449
2,299,449
2,273,467
2,270,449
2,311,391
2,305,420
2,282,414
2,264,423
2,255,402
2,267,370
2,229,376
2,244,414
2,252,426
2,255,455
2,255,511
2,223,429
2,202,399
2,202,435
2,199,461
2,199,493
2,196,511
2,199,529
2,246,538
2,273,549
2,258,561
2,238,576
2,214,567
2,199,576
2,214,599
2,194,614
2,191,643
2,161,640
2,155,664
2,123,699
2,129,737
2,185,743
2,220,758
2,238,767
2,273,764
2,329,764
2,282,714
2,238,717
2,232,687
2,317,685
2,296,652
2,285,632
2,273,599
2,291,576
2,311,588
2,326,617
2,279,505
2,826,449
2,1223,270
2,1237,288
2,1270,258
2,1361,282
2,1393,258
2,1422,267
2,1464,267
2,1437,296
2,1414,299
2,1396,314
2,1270,320
2,1261,358
2,1199,329
2,1190,414
2,1155,396
2,1231,388
2,1287,385
2,1278,417
2,1205,443
2,1258,467
2,1267,496
2,1314,482
2,1358,496
