type,x,y
1,1945,92
1,2040,108
1,1868,201
1,1913,219
1,1845,237
1,1936,224
1,1868,289
1,1938,303
1,1945,271
1,1990,231
1,2043,269
1,2124,185
1,2186,244
1,2145,330
1,1732,353
1,1859,409
1,1875,369
1,2024,434
1,2036,462
1,2049,498
1,2117,484
1,2106,532
1,2351,563
1,2274,568
1,2270,643
1,2281,665
1,2326,631
1,2390,699
1,1816,484
1,1945,496
1,1704,407
1,1727,482
1,1648,514
1,1598,554
1,1536,541
1,1679,534
1,1654,607
1,1679,607
1,1718,616
1,1777,566
1,1729,650
1,1893,677
1,1979,665
1,1913,609
1,1897,634
1,1986,627
1,2029,636
1,2067,618
1,2038,600
1,1972,566
1,1586,638
1,1616,706
1,1477,697
1,960,751
1,1023,745
1,1048,813
1,1096,781
1,1191,711
1,1284,761
1,1246,826
1,1314,842
1,1439,824
1,1191,892
1,1246,876
1,1284,903
1,1813,810
1,1850,824
1,1884,892
1,1893,917
1,1820,908
1,1641,921
1,1579,962
1,1505,983
1,1507,1032
1,1464,1127
1,1675,1057
1,1659,1032
1,1750,976
1,1616,1114
1,1802,1180
1,1207,1021
1,1278,1028
1,1239,1057
1,1264,1064
1,1291,1055
1,1330,1073
1,1178,1096
1,1191,1137
1,1003,1186
1,1007,1261
1,1016,1311
1,976,1318
1,951,1368
1,855,1336
1,826,1397
1,789,1377
1,712,1413
1,699,1479
1,771,1460
1,1264,1293
1,1121,1395
1,985,1497
1,1157,1433
1,1246,1395
1,1223,1429
1,1293,1406
1,1282,1467
1,1339,1479
1,1307,1508
1,1087,1565
1,1545,1513
1,1575,1630
1,1523,1705
1,1405,1669
1,1371,1694
1,1366,1746
1,1316,1725
1,1271,1780
1,1139,1757
1,1071,1687
1,1032,1657
1,1062,1732
1,867,1771
1,581,1836
1,578,1778
1,526,1873
1,528,1913
1,220,1596
1,290,1780
1,247,1798
1,254,1918
1,286,1984
1,283,2011
1,322,2013
1,367,2040
1,288,2054
1,2104,1320
1,1924,1390
1,2174,1356
1,2099,1467
1,2131,1476
1,2149,1492
1,2188,1501
1,2210,1479
1,2231,1440
1,2045,1510
1,2070,1544
1,2104,1544
1,2167,1594
1,2208,1569
1,1856,1524
1,1845,1565
1,1820,1639
1,1877,1651
1,1954,1610
1,1797,1739
1,1766,1748
1,1791,656
1,1915,706
1,1153,1096
1,1781,840
1,1688,978
1,1850,1784
1,1271,1746
1,1416,1619
1,1037,1549
1,926,1789
1,844,1300
1,510,1549
1,272,1950
1,315,1997
1,351,2049
2,2240,36
2,2283,33
2,2249,92
2,2208,63
2,2165,81
2,2138,122
2,2145,144
2,2111,142
2,2095,163
2,2058,149
2,2011,149
2,2011,167
2,1995,199
2,2033,192
2,1963,122
2,1963,158
2,1936,156
2,1920,135
2,1879,120
2,1829,113
2,1836,124
2,1806,135
2,1768,167
2,1843,151
2,1875,165
2,1913,181
2,1820,221
2,1809,206
2,1804,258
2,1802,276
2,1763,292
2,1781,310
2,1770,346
2,1890,251
2,1986,271
2,2052,237
2,2088,228
2,2092,199
2,2145,201
2,2149,212
2,2249,192
2,2161,251
2,2136,251
2,2095,246
2,2104,303
2,2086,305
2,2154,294
2,2061,321
2,2083,339
2,2095,369
2,2111,382
2,2151,423
2,2102,439
2,2070,412
2,2065,421
2,2031,375
2,1988,339
2,1959,323
2,1938,353
2,1913,326
2,1897,353
2,1915,409
2,1959,382
2,2006,394
2,1974,430
2,1959,464
2,1911,464
2,2072,457
2,2092,482
2,2113,505
2,2092,525
2,2102,575
2,2029,491
2,1997,505
2,2022,541
2,1997,613
2,1963,602
2,1915,595
2,1936,568
2,1913,518
2,1936,493
2,1877,480
2,1909,480
2,1845,480
2,1836,450
2,1804,419
2,1795,430
2,1756,421
2,1754,446
2,1718,455
2,1747,477
2,1688,486
2,1645,450
2,1659,416
2,1695,382
2,1641,380
2,1598,360
2,1561,398
2,1532,421
2,1534,441
2,1545,459
2,1595,448
2,1577,432
2,1623,423
2,1609,471
2,1589,520
2,1493,484
2,1493,459
2,1468,407
2,1405,423
2,1373,473
2,1321,480
2,1321,505
2,1314,548
2,1377,550
2,1407,552
2,1418,486
2,1448,484
2,1455,545
2,1482,554
2,1464,579
2,1498,593
2,1450,625
2,1423,659
2,1452,668
2,1545,668
2,1568,647
2,1616,647
2,1579,607
2,1613,566
2,1650,568
2,1686,570
2,1709,525
2,1750,523
2,1745,570
2,1809,548
2,1820,557
2,1843,545
2,1879,541
2,1836,611
2,1818,604
2,1899,563
2,1972,629
2,1938,663
2,1972,708
2,1949,699
2,1861,715
2,1806,684
2,1827,659
2,1861,647
2,1759,616
2,1847,679
2,1763,686
2,1777,706
2,1775,724
2,1743,706
2,1707,745
2,1663,724
2,1604,729
2,1627,738
2,1589,686
2,1545,711
2,1536,742
2,1507,776
2,1475,756
2,1495,722
2,1371,670
2,1332,600
2,1302,609
2,1257,543
2,1257,616
2,1207,602
2,1184,613
2,1182,661
2,1262,668
2,1316,665
2,1309,681
2,1348,697
2,1364,763
2,1491,842
2,1464,799
2,1389,817
2,1341,824
2,1341,835
2,1298,801
2,1241,795
2,1246,749
2,1259,733
2,1205,742
2,1155,722
2,1153,697
2,1066,697
2,1048,684
2,1007,702
2,1105,740
2,1107,708
2,1082,761
2,1055,783
2,1016,813
2,987,783
2,962,790
2,953,822
2,930,853
2,946,906
2,985,892
2,1005,865
2,1023,847
2,1055,915
2,1062,853
2,1064,824
2,1135,815
2,1123,781
2,1157,804
2,1155,842
2,1121,838
2,1100,869
2,1128,892
2,1175,844
2,1230,819
2,1268,788
2,1450,858
2,1434,881
2,1423,899
2,1377,869
2,1368,912
2,1359,933
2,1386,987
2,1352,992
2,1341,1016
2,1264,944
2,1239,910
2,1262,874
2,1205,860
2,1155,908
2,1098,915
2,1062,928
2,1087,946
2,1073,976
2,1046,987
2,1012,987
2,1103,971
2,1141,962
2,1162,939
2,1187,930
2,1212,958
2,1137,962
2,1253,969
2,1264,987
2,1212,998
2,1259,1014
2,1305,1014
2,1173,1021
2,1130,1023
2,1078,1023
2,1060,1032
2,1028,1032
2,1012,1062
2,1098,1048
2,1080,1062
2,1048,1073
2,989,1121
2,1023,1103
2,1014,1141
2,1048,1139
2,1073,1116
2,1121,1084
2,1119,1121
2,1223,1091
2,1282,1096
2,1350,1084
2,1330,1134
2,1271,1134
2,1241,1146
2,1250,1173
2,1248,1209
2,1207,1180
2,1187,1195
2,1166,1171
2,1116,1171
2,1069,1200
2,1144,1236
2,2299,532
2,2270,534
2,2326,557
2,2297,557
2,2263,620
2,2283,629
2,2317,600
2,2324,597
2,2340,609
2,2388,597
2,2360,647
2,2353,693
2,2353,722
2,2329,697
2,2281,720
2,2304,661
2,2002,813
2,1983,844
2,1963,824
2,1909,824
2,1895,858
2,1918,876
2,1845,881
2,1838,842
2,1820,860
2,1795,885
2,1770,881
2,1716,883
2,1713,901
2,1759,924
2,1811,924
2,1797,964
2,1797,980
2,1781,998
2,1861,973
2,1895,951
2,1822,1001
2,1795,1035
2,1800,1073
2,1768,1035
2,1725,998
2,1713,915
2,1677,939
2,1652,944
2,1607,949
2,1554,933
2,1518,996
2,1557,989
2,1579,998
2,1568,1021
2,1523,1037
2,1550,1046
2,1509,1073
2,1518,1107
2,1486,1134
2,1470,1164
2,1484,1186
2,1418,1218
2,1518,1164
2,1575,1150
2,1591,1112
2,1613,1155
2,1670,1159
2,1675,1139
2,1720,1161
2,1763,1161
2,1763,1193
2,1702,1248
2,1625,1295
2,1750,1238
2,1809,1125
2,1770,1121
2,1747,1127
2,1722,1125
2,1720,1093
2,1716,1071
2,1675,1078
2,1627,1080
2,1650,1098
2,1579,1053
2,1620,1012
2,1638,994
2,1666,1003
2,1718,1032
2,1756,1073
2,2049,1334
2,1956,1469
2,1983,1447
2,2011,1447
2,2036,1458
2,2061,1492
2,1983,1513
2,1949,1515
2,1961,1551
2,2126,1556
2,2204,1528
2,2147,1513
2,1875,1614
2,1822,1599
2,1813,1537
2,1875,1678
2,1820,1721
2,1795,1780
2,1795,1816
2,1868,1787
2,1886,1832
2,1559,1479
2,1584,1513
2,1573,1558
2,1552,1610
2,1250,1340
2,1280,1368
2,1321,1399
2,1321,1436
2,1264,1379
2,1209,1408
2,1173,1395
2,1071,1388
2,1055,1424
2,1082,1438
2,1110,1426
2,1016,1422
2,1026,1447
2,985,1447
2,996,1472
2,921,1460
2,1026,1503
2,1041,1522
2,1048,1481
