type,x,y
1,912,174
1,824,178
1,822,218
1,778,234
1,762,234
1,716,262
1,688,316
1,660,438
1,644,474
1,706,214
1,742,410
1,766,438
1,846,414
1,862,346
1,1170,342
1,1194,368
1,802,536
1,732,534
1,618,580
1,948,404
1,882,550
1,944,596
1,1114,426
1,686,628
1,782,628
1,810,640
1,848,658
1,798,662
1,770,690
1,736,686
1,710,688
1,692,686
1,686,728
1,764,744
1,736,746
1,840,738
1,776,782
1,1176,588
1,1246,604
1,1252,698
1,1116,692
1,1084,680
1,880,788
1,826,840
1,892,840
1,888,912
1,844,948
1,920,992
1,904,1026
1,980,870
1,1152,896
1,1222,892
1,1258,864
1,1214,854
1,1208,832
1,1168,998
1,1210,1038
1,1512,894
1,1522,964
1,1540,1032
1,1546,1108
1,1126,1090
1,1090,1128
1,1094,1190
1,1110,1204
1,1152,1202
1,1248,1212
1,1440,1242
1,1274,1318
1,1258,1342
1,1164,1348
1,1228,1428
1,1326,1430
1,1336,1528
1,1296,1518
1,1564,494
1,1534,564
1,1086,826
1,674,274
1,724,304
1,964,180
1,662,656
1,866,734
1,880,672
1,806,790
1,1452,974
1,1414,1248
1,1274,1406
1,1246,1370
1,514,912
1,560,964
1,578,992
1,564,1014
1,464,976
1,348,910
1,338,948
1,356,974
1,352,1008
1,362,1038
1,384,1042
1,418,1034
1,424,1104
1,416,1116
1,456,1116
1,512,1128
1,538,1080
1,374,1140
1,414,1190
1,434,1230
1,434,1264
1,214,1182
1,244,1202
1,148,1218
1,152,1244
1,282,1284
1,212,1376
1,194,1416
1,174,1370
1,258,1448
1,464,1382
1,430,1392
1,394,1418
1,568,1444
1,542,1432
1,676,1434
1,662,1496
1,712,1452
1,594,1372
1,358,1060
1,2720,38
1,2698,16
1,2686,48
1,2474,44
1,2262,4
1,2210,10
1,2250,46
1,2284,52
1,2316,116
1,2348,106
1,2402,90
1,2390,150
1,2476,198
1,2618,186
1,2542,120
1,2240,222
1,2148,166
1,2086,372
1,2108,414
1,2138,434
1,2116,464
1,2064,444
1,2364,386
1,2404,366
1,2480,448
1,2748,548
1,2404,570
1,2382,632
1,2016,490
1,2050,496
1,2042,560
1,2114,612
1,2106,654
1,1900,658
1,1952,672
1,2046,666
1,1902,726
1,1884,714
1,1932,720
1,1932,778
1,1976,752
1,1978,786
1,2012,762
1,1904,876
1,1894,830
1,1852,852
1,2076,760
1,2148,758
1,2080,796
1,2092,836
1,2120,810
1,2572,684
1,2604,700
1,2530,736
1,2586,772
1,2624,752
1,2656,744
1,2582,822
1,2596,836
1,2492,786
1,2696,996
1,2732,1054
1,2706,900
1,2550,1004
1,2492,840
1,2432,912
1,2320,976
1,2304,1038
1,2412,1132
1,2454,1160
1,2580,1126
1,2150,488
1,2358,222
1,2284,534
1,2602,592
1,2706,914
1,2682,1058
1,2714,1090
1,2660,1170
1,2380,1202
1,2370,1238
1,2328,1070
1,2398,1288
1,2663,1249
1,2525,1345
1,2531,1384
1,2510,1486
1,2477,1489
1,2471,1507
1,2546,1519
1,2522,1555
1,2654,1576
1,2687,1558
1,2756,1474
1,2753,1291
1,2273,1591
1,2261,1633
1,2282,1681
1,2627,1903
1,2585,1921
1,2561,1948
1,2588,1978
1,2597,2023
1,2618,1999
1,2636,2047
1,2621,2059
1,2723,2077
1,1913,1267
1,1853,1072
1,2201,1486
1,2171,1549
1,1718,1471
1,1790,1555
1,1754,1507
1,1970,1600
1,1805,1582
1,1802,1633
1,1748,1615
1,1670,1753
1,1625,1795
1,1628,1819
1,1670,1801
1,1658,1864
1,1745,1804
1,1796,1684
1,1763,1876
1,1733,1903
1,1811,1927
1,1859,1930
1,1814,1882
1,1841,1816
1,1859,1876
1,1910,1870
1,1874,1792
1,1964,1948
1,2018,1831
1,1985,1714
1,2741,1513
1,2546,1570
1,2060,1351
1,1976,1930
1,2057,1903
1,2054,1828
2,884,162
2,880,192
2,848,192
2,782,198
2,778,154
2,748,168
2,722,204
2,754,294
2,842,254
2,832,298
2,822,322
2,870,290
2,898,284
2,868,242
2,928,214
2,910,248
2,998,236
2,1036,210
2,1056,224
2,1072,228
2,1100,236
2,1142,294
2,1056,276
2,1032,262
2,1026,300
2,958,278
2,912,300
2,940,332
2,922,360
2,902,338
2,644,352
2,654,378
2,674,356
2,708,352
2,736,364
2,750,342
2,808,350
2,840,374
2,896,376
2,984,360
2,1022,338
2,1052,330
2,1078,336
2,1100,330
2,1112,354
2,1024,368
2,1040,390
2,1056,420
2,1094,392
2,1142,376
2,1162,392
2,1186,400
2,1184,432
2,1210,428
2,1144,434
2,1150,478
2,994,422
2,994,442
2,1032,440
2,1038,466
2,1012,466
2,960,470
2,916,458
2,916,474
2,900,412
2,888,456
2,834,470
2,798,494
2,750,476
2,702,422
2,700,466
2,670,490
2,676,526
2,652,534
2,646,548
2,680,570
2,1232,462
2,1256,500
2,1180,488
2,1096,464
2,1074,482
2,1088,508
2,1004,494
2,1028,506
2,1056,540
2,1030,536
2,1004,516
2,980,534
2,954,522
2,928,528
2,902,484
2,898,508
2,884,496
2,870,514
2,838,518
2,716,564
2,760,556
2,744,594
2,676,414
2,1002,162
2,930,162
2,1118,258
2,1002,556
2,1064,566
2,1026,598
2,1148,546
2,1168,534
2,1222,536
2,1208,564
2,1176,560
2,930,572
2,912,580
2,908,600
2,882,584
2,862,600
2,824,566
2,822,542
2,788,558
2,714,662
2,656,594
2,634,630
2,664,628
2,670,698
2,732,722
2,756,708
2,790,676
2,818,708
2,794,714
2,840,674
2,822,654
2,848,632
2,892,646
2,906,626
2,890,604
2,908,676
2,990,608
2,972,614
2,968,628
2,936,628
2,954,680
2,1032,662
2,1010,682
2,1058,614
2,1090,616
2,1152,616
2,1192,626
2,1260,680
2,1304,636
2,1158,648
2,1126,662
2,1086,644
2,1186,682
2,1206,760
2,1196,724
2,1172,744
2,1188,768
2,1164,758
2,1138,796
2,1108,784
2,1074,718
2,1056,736
2,984,724
2,966,744
2,962,762
2,1028,754
2,1000,760
2,1004,782
2,1036,794
2,992,806
2,986,784
2,942,788
2,890,738
2,884,708
2,852,768
2,836,788
2,812,816
2,798,838
2,752,784
2,902,808
2,934,818
2,1028,838
2,978,836
2,1004,856
2,946,850
2,958,864
2,910,842
2,904,868
2,874,868
2,844,874
2,822,898
2,802,884
2,808,900
2,798,912
2,822,910
2,828,938
2,812,932
2,896,946
2,920,932
2,864,964
2,836,976
2,846,1004
2,874,1018
2,886,996
2,940,992
2,926,1018
2,928,1034
2,974,1060
2,968,1030
2,978,1022
2,962,900
2,1348,724
2,1424,684
2,1404,704
2,1422,730
2,1458,716
2,1470,766
2,1470,790
2,1354,782
2,1328,794
2,1296,800
2,1286,788
2,1258,776
2,1266,824
2,1304,852
2,1324,822
2,1370,844
2,1502,844
2,1478,846
2,1484,878
2,1454,870
2,1492,912
2,1460,936
2,1494,952
2,1488,982
2,1514,1046
2,1490,1046
2,1492,1078
2,1556,1070
2,1564,1004
2,1418,926
2,1404,904
2,1342,870
2,1334,888
2,1318,924
2,1254,886
2,1258,936
2,1226,948
2,1286,968
2,1324,958
2,1364,956
2,1424,994
2,1378,1004
2,1354,1008
2,1124,982
2,1082,990
2,1062,1040
2,1036,1068
2,1008,1092
2,1078,1086
2,1104,1098
2,1126,1046
2,1158,1070
2,1212,1092
2,1198,1092
2,1184,1126
2,1246,1042
2,1258,1060
2,1234,1066
2,1266,1006
2,1302,1016
2,1396,1040
2,1470,1106
2,1446,1072
2,1448,1130
2,1420,1096
2,1386,1068
2,1334,1068
2,1386,1106
2,1316,1084
2,1294,1058
2,1318,1112
2,1286,1122
2,1510,1140
2,1210,1134
2,1240,1138
2,1254,1162
2,1244,1194
2,1202,1190
2,1166,1210
2,1128,1146
2,1052,1152
2,1108,1226
2,1118,1242
2,1198,1236
2,1166,1236
2,1190,1274
2,1166,1296
2,1136,1274
2,1124,1294
2,1146,1328
2,1178,1318
2,1196,1338
2,1226,1320
2,1250,1266
2,1288,1264
2,1288,1224
2,1300,1190
2,1326,1198
2,1330,1232
2,1326,1160
2,1338,1122
2,1394,1148
2,1428,1174
2,1394,1182
2,1370,1182
2,1348,1166
2,1370,1214
2,1388,1250
2,1416,1216
2,1476,1178
2,1510,1188
2,1362,1254
2,1406,1284
2,1390,1306
2,1378,1326
2,1364,1342
2,1400,1338
2,1338,1336
2,1316,1354
2,1340,1268
2,1316,1278
2,1212,1388
2,1182,1430
2,1164,1408
2,1276,1462
2,1248,1492
2,1230,1482
2,1208,1484
2,1180,1484
2,1270,1518
2,1216,1512
2,1342,1446
2,1316,1456
2,1294,1356
2,434,898
2,490,892
2,408,914
2,418,934
2,392,944
2,404,970
2,442,996
2,422,1010
2,452,1020
2,500,994
2,482,978
2,490,944
2,518,940
2,530,964
2,538,1008
2,602,1032
2,630,1040
2,612,988
2,470,1040
2,446,1048
2,504,1062
2,540,1058
2,376,1088
2,346,1078
2,424,1128
2,458,1146
2,424,1156
2,402,1164
2,484,1188
2,506,1182
2,500,1160
2,528,1168
2,546,1154
2,562,1100
2,532,1100
2,578,1116
2,610,1120
2,630,1132
2,600,1150
2,594,1176
2,558,1190
2,560,1230
2,502,1214
2,468,1222
2,470,1260
2,412,1246
2,396,1226
2,472,1284
2,482,1304
2,476,1322
2,522,1216
2,640,1062
2,160,1170
2,172,1202
2,140,1198
2,200,1228
2,234,1214
2,278,1252
2,302,1242
2,246,1280
2,216,1256
2,200,1254
2,190,1270
2,162,1270
2,142,1280
2,146,1300
2,184,1296
2,196,1304
2,172,1330
2,266,1378
2,310,1382
2,290,1418
2,226,1442
2,278,1442
2,326,1348
2,318,1300
2,296,1338
2,258,1318
2,488,1370
2,528,1386
2,538,1360
2,556,1370
2,626,1380
2,622,1402
2,624,1420
2,584,1426
2,692,1430
2,688,1470
2,692,1512
2,626,1494
2,624,1526
2,660,1564
2,600,1536
2,502,1458
2,384,1462
2,368,1414
2,354,1438
2,358,1470
2,372,1494
2,384,1522
2,396,1486
2,416,1514
2,430,1500
2,470,1498
2,494,1516
2,520,1524
2,544,1496
2,538,1540
2,542,1562
2,522,1566
2,496,1566
2,474,1538
2,438,1550
2,416,1566
2,404,1588
2,426,1602
2,454,1620
2,480,1582
2,536,1596
2,530,1628
2,726,1482
2,710,1514
2,2638,34
2,2654,8
2,2592,32
2,2534,22
2,2498,16
2,2308,18
2,2280,30
2,2226,26
2,2224,48
2,2264,94
2,2298,120
2,2364,50
2,2324,146
2,2312,164
2,2276,180
2,2218,182
2,2146,124
2,2164,102
2,2142,236
2,2156,302
2,2122,324
2,2134,348
2,2120,258
2,2210,318
2,2062,394
2,2044,420
2,2030,444
2,2000,518
2,1966,512
2,1984,554
2,1958,548
2,1938,538
2,1920,556
2,1928,578
2,1900,586
2,1960,606
2,1980,598
2,2036,596
2,2038,640
2,2006,642
2,1984,634
2,1974,648
2,1990,668
2,2020,670
2,2044,702
2,2072,630
2,2088,560
2,2100,496
2,2078,500
2,2062,532
2,2146,520
2,2120,540
2,2120,574
2,2160,586
2,2184,540
2,2200,470
2,2216,434
2,2240,394
2,2252,386
2,2276,386
2,2320,376
2,2324,400
2,2084,724
2,2060,742
2,1976,730
2,1950,712
2,1938,686
2,2046,808
2,2016,792
2,2000,818
2,1946,818
2,1918,790
2,1884,776
2,1874,734
2,1846,806
2,1852,866
2,1926,854
2,1964,872
2,1990,872
2,2030,870
2,2026,894
2,1984,906
2,1960,920
2,1958,950
2,1920,934
2,2148,718
2,2124,728
2,2100,758
2,2108,778
2,2166,786
2,2174,800
2,2210,780
2,2206,656
2,2212,686
2,2192,668
2,2252,714
2,2548,60
2,2620,58
2,2714,76
2,2726,96
2,2728,132
2,2766,156
2,2764,188
2,2722,168
2,2686,154
2,2660,182
2,2654,116
2,2608,110
2,2614,138
2,2484,110
2,2448,134
2,2476,172
2,2436,168
2,2428,182
2,2498,196
2,2516,184
2,2530,216
2,2546,194
2,2346,184
2,2314,284
2,2684,208
2,2708,224
2,2634,232
2,2600,248
2,2578,268
2,2526,272
2,2464,300
2,2480,308
2,2472,338
2,2422,338
2,2552,314
2,2652,264
2,2688,268
2,2666,310
2,2712,320
2,2734,276
2,2760,284
2,2738,322
2,2766,376
2,2708,382
2,2730,406
2,2694,416
2,2668,384
2,2634,358
2,2566,382
2,2602,394
2,2534,388
2,2482,376
2,2474,402
2,2504,418
2,2440,372
2,2426,404
2,2524,448
2,2552,448
2,2576,428
2,2606,454
2,2606,418
2,2638,454
2,2650,436
2,2662,418
2,2734,456
2,2758,504
2,2724,488
2,2694,476
2,2684,498
2,2652,484
2,2694,526
2,2724,540
2,2690,552
2,2724,584
2,2676,582
2,2730,618
2,2768,604
2,2766,574
2,2610,536
2,2528,478
2,2440,472
2,2424,492
2,2322,448
2,2296,482
2,2264,496
2,2302,508
2,2282,572
2,2300,594
2,2322,570
2,2332,616
2,2296,624
2,2338,660
2,2306,678
2,2334,698
2,2384,662
2,2418,676
2,2424,628
2,2414,614
2,2372,580
2,2348,556
2,2376,550
2,2326,498
2,2366,458
2,2456,536
2,2478,492
2,2492,530
2,2526,526
2,2520,568
2,2448,620
2,2430,592
2,2478,624
2,2642,608
2,2632,630
2,2670,626
2,2670,664
2,2710,652
2,2716,688
2,2748,722
2,2702,728
2,2644,678
2,2680,730
2,2680,754
2,2648,712
2,2760,768
2,2736,780
2,2722,808
2,2730,850
2,2742,864
2,2724,864
2,2702,844
2,2660,794
2,2634,772
2,2622,800
2,2584,796
2,2392,716
2,2352,722
2,2382,752
2,2510,652
2,2638,858
2,2604,872
2,2578,888
2,2550,906
2,2550,830
2,2674,908
2,2758,922
2,2734,892
2,2624,930
2,2590,940
2,2496,876
2,2448,892
2,2412,868
2,2388,838
2,2342,840
2,2326,874
2,2292,878
2,2268,912
2,2294,950
2,2222,946
2,2204,934
2,2180,920
2,2210,960
2,2398,958
2,2426,956
2,2440,968
2,2398,980
2,2514,984
2,2534,950
2,2630,988
2,2630,1022
2,2680,1014
2,2740,974
2,2704,982
2,2674,960
2,2756,982
2,2768,1012
2,2652,1106
2,2564,1058
2,2570,1086
2,2524,1098
2,2480,1088
2,2490,1056
2,2452,1032
2,2394,1054
2,2362,1052
2,2436,1082
2,2468,1108
2,2378,902
2,2344,928
2,2298,1016
2,2278,980
2,2236,1020
2,2606,1146
2,2584,1182
2,2484,1178
2,2472,1208
2,2510,1248
2,2420,1252
2,2350,1260
2,2304,1202
2,2498,1280
2,2470,1274
2,2440,1306
2,2614,1194
2,2246,1072
2,2753,1237
2,2726,1252
2,2699,1264
2,2744,1276
2,2702,1294
2,2666,1303
2,2636,1327
2,2651,1345
2,2699,1348
2,2720,1354
2,2618,1354
2,2585,1333
2,2552,1357
2,2459,1381
2,2474,1423
2,2600,1408
2,2543,1432
2,2558,1471
2,2645,1477
2,2648,1447
2,2684,1462
2,2720,1441
2,2666,1408
2,2726,1489
2,2660,1525
2,2678,1549
2,2594,1573
2,2600,1627
2,2549,1633
2,2759,1585
2,2405,1399
2,1937,1303
2,1952,1339
2,1910,1333
2,1895,1312
2,1868,1345
2,2063,1363
2,2024,1351
2,2084,1339
2,2099,1378
2,2060,1309
2,1793,1390
2,1832,1510
2,1850,1543
2,1760,1558
2,1721,1642
2,1724,1600
2,1685,1666
2,1661,1687
2,1658,1594
2,1649,1549
2,1697,1738
2,1742,1696
2,1769,1690
2,1847,1666
2,1817,1699
2,1847,1702
2,1856,1720
2,1880,1738
2,1898,1723
2,1925,1711
2,1898,1672
2,2036,1741
2,2030,1705
2,2051,1738
2,1988,1762
2,1979,1789
2,1943,1777
2,1913,1762
2,2072,1810
2,2045,1774
2,2072,1882
2,2081,1915
2,2018,1906
2,2003,1939
2,1976,1834
2,1952,1828
2,1907,1810
2,1880,1819
2,1928,1849
2,1889,1849
2,1811,1753
2,1838,1768
2,1820,1792
2,1772,1807
2,1727,1771
2,1694,1789
2,1700,1855
2,1685,1876
2,1664,1891
2,1697,1912
2,1721,1876
2,1742,1924
2,1778,1897
2,1802,1951
2,1895,1942
2,1919,1954
2,1883,1900
2,1919,1894
2,1937,1912
2,1979,1873
2,2033,1951
2,2636,1939
2,2687,1990
2,2651,1984
2,2666,2008
2,2630,2011
2,2561,2038
2,2534,2038
2,2510,2017
2,2522,1984
2,2543,1936
2,2543,1912
2,2600,2068
2,2705,2038
