type,x,y
1,888,251
1,881,265
1,929,333
1,847,400
1,740,335
1,704,331
1,932,104
1,636,383
1,644,501
1,645,544
1,615,677
1,723,709
1,341,829
1,336,863
1,431,881
1,359,731
1,903,755
1,980,755
1,1015,939
1,953,963
1,933,512
1,1716,11
1,1893,41
1,1881,72
1,1869,92
1,1825,112
1,1801,160
1,1916,335
1,1824,443
1,1735,493
1,1832,509
1,1704,535
1,1621,192
1,1529,251
1,1785,640
1,1580,523
1,1628,549
1,1320,357
1,1283,411
1,1364,288
1,1409,173
1,1455,223
1,1436,241
1,1861,19
1,1919,91
1,1868,537
1,1671,747
1,1623,769
1,1544,773
1,1544,785
1,1591,860
1,1500,864
1,1515,947
1,1488,1137
1,1465,1124
1,1424,1105
1,1389,1256
1,1379,1217
1,1329,819
1,1289,853
1,1401,871
1,1317,844
1,1336,13
2,932,80
2,904,128
2,947,140
2,951,165
2,949,205
2,960,231
2,997,239
2,981,264
2,985,305
2,927,299
2,916,288
2,940,248
2,917,209
2,900,203
2,916,229
2,927,168
2,940,179
2,881,133
2,843,163
2,860,163
2,843,207
2,800,213
2,776,223
2,856,260
2,851,231
2,828,271
2,840,283
2,845,293
2,868,279
2,896,296
2,891,321
2,891,347
2,869,361
2,848,375
2,968,365
2,959,408
2,935,428
2,925,472
2,963,520
2,917,531
2,877,472
2,863,493
2,849,523
2,865,559
2,847,572
2,829,548
2,879,545
2,828,377
2,804,376
2,796,395
2,813,359
2,832,347
2,855,329
2,869,331
2,809,325
2,835,325
2,815,299
2,740,249
2,744,267
2,745,292
2,732,308
2,763,313
2,735,361
2,740,381
2,693,348
2,693,376
2,717,396
2,671,376
2,680,351
2,671,340
2,636,341
2,620,383
2,664,419
2,655,381
2,673,449
2,696,437
2,653,453
2,628,443
2,595,435
2,593,456
2,601,493
2,601,517
2,581,501
2,557,475
2,553,544
2,537,537
2,605,524
2,637,525
2,672,524
2,661,565
2,719,524
2,755,399
2,772,412
2,764,447
2,740,449
2,724,429
2,783,449
2,705,584
2,712,645
2,747,653
2,756,669
2,784,664
2,816,633
2,696,668
2,692,673
2,655,664
2,655,627
2,653,593
2,640,592
2,633,584
2,585,572
2,535,569
2,527,613
2,616,649
2,600,685
2,649,705
2,584,648
2,541,640
2,497,629
2,475,621
2,448,627
2,435,620
2,425,589
2,436,569
2,421,617
2,413,655
2,421,665
2,439,655
2,459,656
2,449,676
2,416,689
2,387,701
2,385,647
2,367,668
2,356,704
2,313,713
2,336,717
2,384,719
2,376,760
2,349,756
2,356,773
2,327,760
2,328,800
2,320,827
2,297,887
2,272,923
2,369,811
2,407,833
2,404,781
2,435,725
2,413,769
2,447,751
2,432,776
2,445,781
2,457,797
2,505,780
2,532,772
2,515,711
2,527,673
2,579,711
2,585,744
2,675,739
2,703,731
2,631,768
2,557,777
2,596,805
2,524,825
2,509,809
2,492,825
2,395,877
2,376,895
2,212,613
2,183,631
2,161,624
2,155,664
2,108,699
2,208,667
2,247,683
2,284,652
2,267,685
2,224,716
2,233,756
2,237,783
2,204,772
2,144,769
2,163,783
2,143,800
2,119,837
2,100,832
2,213,832
2,231,844
2,208,869
2,204,896
2,177,937
2,395,816
2,216,975
2,199,1032
2,219,1120
2,253,1201
2,272,1156
2,289,1236
2,328,1191
2,320,1156
2,339,1157
2,349,1159
2,349,1189
2,388,1224
2,423,1257
2,471,1224
2,449,1157
2,431,1169
2,415,1161
2,417,1140
2,425,1111
2,468,1131
2,468,1101
2,405,1067
2,397,1084
2,401,1109
2,397,1137
2,368,1145
2,339,1109
2,297,1108
2,303,1085
2,267,1075
2,328,1043
2,319,1019
2,335,987
2,336,1007
2,388,1064
2,295,1001
2,319,973
2,297,972
2,273,995
2,307,927
2,388,1012
2,409,977
2,415,949
2,401,944
2,412,907
2,439,944
2,471,907
2,464,876
2,503,847
2,511,872
2,484,873
2,487,903
2,512,925
2,560,973
2,572,1056
2,567,1075
2,584,1091
2,572,1103
2,559,1155
2,504,1187
2,616,1120
2,641,1113
2,627,1087
2,644,1083
2,663,1087
2,664,1117
2,669,1141
2,651,1131
2,647,1149
2,656,1168
2,720,1084
2,704,1055
2,677,1055
2,695,1075
2,739,1067
2,771,1044
2,653,1043
2,629,1017
2,601,1031
2,675,1023
2,728,1009
2,719,1005
2,693,985
2,745,985
2,807,1016
2,816,991
2,833,991
2,621,980
2,604,987
2,591,920
2,605,909
2,616,924
2,592,873
2,571,876
2,532,845
2,577,836
2,592,836
2,601,847
2,608,823
2,619,813
2,657,823
2,664,803
2,681,832
2,685,875
2,648,905
2,663,927
2,661,951
2,689,939
2,747,903
2,725,913
2,763,907
2,765,885
2,749,864
2,727,857
2,715,807
2,701,784
2,745,817
2,749,797
2,771,793
2,789,816
2,789,785
2,780,757
2,739,729
2,851,749
2,880,765
2,903,729
2,913,715
2,963,723
2,941,731
2,933,753
2,905,764
2,877,764
2,885,785
2,956,763
2,1024,773
2,1001,807
2,1021,813
2,1004,823
2,1011,835
2,1004,853
2,977,827
2,976,812
2,951,801
2,936,793
2,903,800
2,900,811
2,943,819
2,925,828
2,939,839
2,900,852
2,883,847
2,857,831
2,865,863
2,841,869
2,820,895
2,788,884
2,795,855
2,805,827
2,832,807
2,815,803
2,796,987
2,852,903
2,859,921
2,844,959
2,868,963
2,885,959
2,887,945
2,888,884
2,875,907
2,915,899
2,936,881
2,947,903
2,960,913
2,936,924
2,995,912
2,981,895
2,968,867
2,927,968
2,979,988
2,972,959
2,992,957
2,1025,947
2,1025,876
2,1727,40
2,1683,27
2,1680,8
2,1652,11
2,1651,49
2,1712,76
2,1383,160
2,1359,161
2,1341,151
2,1327,181
2,1291,184
2,1263,207
2,1357,144
2,1431,152
2,1455,129
2,1429,95
2,1408,101
2,1465,144
2,1485,163
2,1521,145
2,1485,87
2,1523,93
2,1599,68
2,1608,36
2,1587,21
2,1599,3
2,1751,52
2,1751,73
2,1777,59
2,1792,29
2,1813,8
2,1863,5
2,1892,20
2,1856,32
2,1848,61
2,1813,72
2,1820,92
2,1815,104
2,1768,108
2,1757,120
2,1779,129
2,1988,19
2,2013,47
2,2032,17
2,2039,4
2,2107,35
2,2104,68
2,2109,105
2,2033,111
2,1921,148
2,1888,163
2,1867,131
2,1885,111
2,1916,67
2,1963,55
2,1833,136
2,1853,183
2,1825,180
2,1805,181
2,1777,201
2,1744,175
2,1751,195
2,1720,205
2,1715,211
2,1695,216
2,1672,232
2,1653,216
2,1597,133
2,1600,107
2,1639,105
2,1657,96
2,1677,101
2,1552,167
2,1567,192
2,1551,212
2,1551,247
2,1539,267
2,1589,277
2,1613,217
2,1632,173
2,1679,264
2,1740,241
2,1777,235
2,1736,212
2,1704,160
2,1732,131
2,1983,213
2,1913,197
2,1883,200
2,1884,217
2,1889,229
2,1892,255
2,1981,252
2,2059,208
2,2053,225
2,2065,251
2,2020,261
2,2060,293
2,2035,285
2,2029,307
2,1980,308
2,1964,285
2,2003,340
2,1983,352
2,1965,347
2,1951,324
2,1921,283
2,1891,280
2,1943,359
2,1965,387
2,1955,412
2,1859,427
2,1872,372
2,1804,416
2,1779,403
2,1815,431
2,1780,443
2,1756,433
2,1781,488
2,1783,511
2,1755,404
2,1753,391
2,1785,323
2,1773,277
2,1749,299
2,1731,295
2,1705,295
2,1675,297
2,1636,303
2,1636,333
2,1600,323
2,1588,348
2,1617,384
2,1616,424
