type,x,y
1,294,1012
1,780,502
1,1392,1333
1,1089,1474
1,1101,1576
1,1464,1357
1,1335,1654
1,285,1129
1,3170,172
1,3816,710
1,3416,810
1,3414,846
1,2836,1010
1,2784,988
1,2772,1004
1,2766,1004
1,2596,1070
1,2580,1012
1,3254,784
1,2030,1304
1,1830,2174
1,1704,1944
1,1512,2262
1,1802,1152
1,1800,964
1,1492,1528
1,2844,1513
1,3052,1961
1,2942,2307
1,2816,2505
1,2616,2503
1,3566,1849
1,3454,1841
1,3132,2251
1,3292,2371
1,2522,1879
1,764,2501
1,542,2365
1,1192,2701
1,1650,2645
1,1310,2411
1,1128,3173
2,732,514
2,756,541
2,771,565
2,825,517
2,828,553
2,855,535
2,828,607
2,708,556
2,654,535
2,615,562
2,597,580
2,666,583
2,651,607
2,681,610
2,726,598
2,693,628
2,720,667
2,708,664
2,660,673
2,633,649
2,627,673
2,615,631
2,594,634
2,561,592
2,540,625
2,603,694
2,573,727
2,567,697
2,534,712
2,486,691
2,498,721
2,501,757
2,465,751
2,780,619
2,906,538
2,918,565
2,939,619
2,921,610
2,909,628
2,873,667
2,855,646
2,846,676
2,807,661
2,780,661
2,720,712
2,741,724
2,699,694
2,684,682
2,666,712
2,675,736
2,630,739
2,645,763
2,606,766
2,579,751
2,552,754
2,468,781
2,414,784
2,537,787
2,534,808
2,492,796
2,450,814
2,435,835
2,483,838
2,450,853
2,399,850
2,369,841
2,351,844
2,327,838
2,375,802
2,300,856
2,309,877
2,273,883
2,318,916
2,267,928
2,276,946
2,306,964
2,327,961
2,261,991
2,234,949
2,210,991
2,213,1015
2,258,1027
2,240,1045
2,216,1033
2,195,1051
2,177,1024
2,180,994
2,219,1060
2,240,1105
2,174,1066
2,189,1090
2,198,1099
2,132,1093
2,165,1111
2,138,1123
2,165,1159
2,231,1156
2,183,1276
2,156,1252
2,207,1258
2,228,1228
2,264,1240
2,276,1180
2,309,1198
2,327,1105
2,315,1039
2,366,1057
2,342,1072
2,330,997
2,372,940
2,348,892
2,348,907
2,378,907
2,387,871
2,426,880
2,441,895
2,471,886
2,501,901
2,513,850
2,549,853
2,588,829
2,612,808
2,696,757
2,711,784
2,777,739
2,780,775
2,921,667
2,951,703
2,993,637
2,1038,619
2,1062,646
2,1026,652
2,1116,631
2,1128,670
2,1152,604
2,1176,610
2,960,661
2,1005,673
2,984,697
2,918,739
2,879,742
2,876,697
2,909,784
2,927,802
2,957,772
2,987,745
2,852,817
2,777,802
2,711,805
2,630,835
2,603,865
2,612,895
2,627,862
2,654,859
2,666,862
2,561,892
2,549,925
2,474,946
2,435,958
2,411,940
2,396,976
2,375,979
2,378,1009
2,420,1072
2,393,1126
2,348,1138
2,315,1132
2,360,1210
2,330,1207
2,348,1228
2,351,1255
2,381,1258
2,312,1270
2,333,1285
2,324,1312
2,294,1327
2,264,1306
2,216,1315
2,243,1345
2,273,1354
2,246,1384
2,249,1405
2,285,1420
2,300,1438
2,315,1462
2,330,1480
2,285,1477
2,339,1369
2,333,1339
2,399,1330
2,366,1300
2,384,1399
2,396,1426
2,351,1405
2,366,1450
2,384,1474
2,420,1156
2,417,1177
2,462,1105
2,465,1135
2,483,1063
2,489,1018
2,453,1012
2,450,1057
2,549,982
2,579,967
2,768,853
2,747,853
2,702,859
2,744,883
2,774,895
2,738,913
2,777,961
2,735,943
2,753,982
2,717,967
2,693,943
2,696,985
2,711,1003
2,672,997
2,660,1024
2,684,1042
2,597,1003
2,594,1030
2,534,1027
2,555,1048
2,516,1060
2,588,1069
2,579,1099
2,516,1108
2,534,1129
2,492,1150
2,513,1159
2,531,1177
2,492,1189
2,471,1189
2,462,1213
2,480,1261
2,462,1264
2,423,1270
2,534,1231
2,567,1213
2,588,1201
2,624,1144
2,633,1105
2,627,1069
2,693,1087
2,708,1117
2,660,1135
2,714,1162
2,645,1171
2,1209,667
2,1221,697
2,1161,697
2,1125,721
2,1080,715
2,1086,736
2,1110,766
2,1104,790
2,1068,772
2,1044,778
2,1032,808
2,975,811
2,1002,829
2,948,847
2,939,874
2,894,877
2,861,874
2,822,853
2,936,919
2,963,907
2,912,931
2,855,964
2,843,1009
2,879,982
2,870,1024
2,879,1048
2,783,1030
2,774,1051
2,732,1036
2,816,1048
2,828,1057
2,819,1078
2,807,1114
2,762,1063
2,741,1105
2,672,1051
2,798,1147
2,777,1183
2,633,1207
2,603,1213
2,684,1195
2,684,1225
2,717,1240
2,750,1222
2,630,1231
2,615,1246
2,567,1249
2,525,1249
2,561,1273
2,513,1297
2,483,1300
2,465,1306
2,480,1351
2,444,1345
2,447,1363
2,447,1405
2,426,1375
2,357,1525
2,327,1501
2,324,1537
2,372,1555
2,369,1582
